Degrees,P_wave_minutes,P_wave_seconds,S-P_minutes,S-P_seconds,P_decimal_minutes,SP_decimal_minutes,S_decimal_minutes
0.0,0,5.4,0,4.0,0.09000000000000001,0.06666666666666667,0.15666666666666668
0.5,0,10.6,0,7.8,0.17666666666666667,0.13,0.30666666666666664
1.0,0,17.7,0,13.5,0.295,0.225,0.52
1.5,0,24.6,0,19.0,0.41000000000000003,0.31666666666666665,0.7266666666666667
2.0,0,31.4,0,24.4,0.5233333333333333,0.4066666666666666,0.9299999999999999
2.5,0,38.3,0,29.9,0.6383333333333333,0.4983333333333333,1.1366666666666667
3.0,0,45.2,0,35.4,0.7533333333333334,0.59,1.3433333333333333
3.5,0,52.1,0,40.9,0.8683333333333334,0.6816666666666666,1.55
4.0,0,58.9,0,46.4,0.9816666666666667,0.7733333333333333,1.755
4.5,1,5.8,0,51.9,1.0966666666666667,0.865,1.9616666666666667
5.0,1,12.7,0,57.4,1.2116666666666667,0.9566666666666667,2.1683333333333334
5.5,1,19.6,1,2.8,1.3266666666666667,1.0466666666666666,2.373333333333333
6.0,1,26.4,1,8.3,1.44,1.1383333333333334,2.578333333333333
6.5,1,33.3,1,13.8,1.555,1.23,2.785
7.0,1,40.2,1,19.2,1.67,1.32,2.99
7.5,1,47.0,1,24.7,1.7833333333333332,1.4116666666666666,3.195
8.0,1,53.9,1,30.1,1.8983333333333334,1.5016666666666667,3.4000000000000004
8.5,2,0.7,1,35.6,2.0116666666666667,1.5933333333333333,3.605
9.0,2,7.6,1,41.0,2.1266666666666665,1.6833333333333333,3.8099999999999996
9.5,2,14.4,1,46.5,2.24,1.775,4.015000000000001
10.0,2,21.3,1,51.9,2.355,1.865,4.22
11.0,2,35.0,2,2.7,2.5833333333333335,2.045,4.628333333333334
12.0,2,48.7,2,13.5,2.8116666666666665,2.225,5.036666666666667
13.0,3,2.3,2,24.3,3.038333333333333,2.4050000000000002,5.443333333333333
14.0,3,16.0,2,35.0,3.2666666666666666,2.5833333333333335,5.85
15.0,3,29.5,2,45.8,3.4916666666666667,2.763333333333333,6.255
16.0,3,42.5,2,57.1,3.7083333333333335,2.9516666666666667,6.66
17.0,3,55.2,3,8.7,3.92,3.145,7.0649999999999995
18.0,4,7.5,3,20.5,4.125,3.341666666666667,7.466666666666667
19.0,4,18.8,3,33.4,4.3133333333333335,3.5566666666666666,7.87
20.0,4,29.7,3,43.8,4.495,3.73,8.225
21.0,4,40.6,3,52.9,4.676666666666667,3.881666666666667,8.558333333333334
22.0,4,51.3,4,1.8,4.855,4.03,8.885000000000002
23.0,5,1.9,4,9.2,5.031666666666666,4.153333333333333,9.184999999999999
24.0,5,11.6,4,15.7,5.193333333333333,4.261666666666667,9.455
25.0,5,20.7,4,22.6,5.345,4.376666666666667,9.721666666666668
26.0,5,29.8,4,29.4,5.496666666666667,4.49,9.986666666666668
27.0,5,38.8,4,36.2,5.6466666666666665,4.6033333333333335,10.25
28.0,5,47.7,4,42.9,5.795,4.715,10.51
29.0,5,56.6,4,49.8,5.943333333333333,4.83,10.773333333333333
30.0,6,5.5,4,56.6,6.091666666666667,4.943333333333333,11.035
31.0,6,14.3,5,3.4,6.238333333333333,5.056666666666667,11.295
32.0,6,23.1,5,10.2,6.385,5.17,11.555
33.0,6,31.9,5,17.0,6.531666666666666,5.283333333333333,11.815
34.0,6,40.5,5,23.8,6.675,5.3966666666666665,12.071666666666665
35.0,6,49.2,5,30.5,6.82,5.508333333333333,12.328333333333333
36.0,6,57.8,5,37.3,6.963333333333333,5.621666666666666,12.584999999999999
37.0,7,6.3,5,44.0,7.105,5.733333333333333,12.838333333333335
38.0,7,14.7,5,50.7,7.245,5.845,13.09
39.0,7,23.1,5,57.4,7.385,5.956666666666667,13.341666666666667
40.0,7,31.4,6,4.0,7.523333333333333,6.066666666666666,13.59
41.0,7,39.7,6,10.7,7.661666666666667,6.178333333333334,13.84
42.0,7,47.9,6,17.3,7.798333333333334,6.288333333333333,14.086666666666666
43.0,7,56.0,6,23.9,7.933333333333334,6.398333333333333,14.331666666666667
44.0,8,4.1,6,30.4,8.068333333333333,6.506666666666667,14.575
45.0,8,12.1,6,37.0,8.201666666666666,6.616666666666667,14.818333333333333
46.0,8,20.0,6,43.5,8.333333333333334,6.725,15.058333333333334
47.0,8,27.8,6,49.9,8.463333333333333,6.831666666666667,15.295
48.0,8,35.6,6,56.4,8.593333333333334,6.9399999999999995,15.533333333333333
49.0,8,43.3,7,2.8,8.721666666666666,7.046666666666667,15.768333333333333
50.0,8,50.9,7,9.1,8.848333333333333,7.151666666666666,16.0
51.0,8,58.5,7,15.5,8.975,7.258333333333334,16.233333333333334
52.0,9,6.0,7,21.8,9.1,7.363333333333333,16.46333333333333
53.0,9,13.4,7,28.1,9.223333333333333,7.468333333333334,16.691666666666666
54.0,9,20.7,7,34.3,9.345,7.571666666666666,16.916666666666668
55.0,9,28.0,7,40.5,9.466666666666667,7.675,17.141666666666666
56.0,9,35.2,7,46.6,9.586666666666666,7.776666666666666,17.363333333333333
57.0,9,42.3,7,52.8,9.705,7.88,17.585
58.0,9,49.4,7,58.8,9.823333333333334,7.98,17.803333333333335
59.0,9,56.3,8,4.9,9.938333333333333,8.081666666666667,18.02
60.0,10,3.2,8,10.9,10.053333333333333,8.181666666666667,18.235
61.0,10,10.1,8,16.9,10.168333333333333,8.281666666666666,18.45
62.0,10,16.8,8,22.8,10.28,8.38,18.66
63.0,10,23.5,8,28.7,10.391666666666667,8.478333333333333,18.87
64.0,10,30.1,8,34.5,10.501666666666667,8.575,19.076666666666668
65.0,10,36.7,8,40.3,10.611666666666666,8.671666666666667,19.28333333333333
66.0,10,43.2,8,46.1,10.72,8.768333333333333,19.488333333333333
67.0,10,49.5,8,51.8,10.825,8.863333333333333,19.688333333333333
68.0,10,55.9,8,57.5,10.931666666666667,8.958333333333334,19.89
69.0,11,2.1,9,3.1,11.035,9.051666666666666,20.086666666666666
70.0,11,8.3,9,8.7,11.138333333333334,9.145,20.28333333333333
71.0,11,14.4,9,14.3,11.24,9.238333333333333,20.47833333333333
72.0,11,20.4,9,19.8,11.34,9.33,20.67
73.0,11,26.4,9,25.2,11.44,9.42,20.86
74.0,11,32.3,9,30.6,11.538333333333334,9.51,21.048333333333332
75.0,11,38.1,9,36.0,11.635,9.6,21.235
76.0,11,43.8,9,41.3,11.73,9.688333333333333,21.418333333333333
77.0,11,49.5,9,46.6,11.825,9.776666666666667,21.601666666666667
